traveller_id,lat_o,lng_o,lat_d,lng_d,css_o,lat_css_o,lng_css_o,css_d,lat_css_d,lng_css_d
t1,55.66034659999999,12.6124427,55.7155986,12.5491707,CS0,55.6629687,12.6150036,CS1,55.714287,12.544606
t2,55.66034659999999,12.6124427,55.7145986,12.5472417,CS0,55.6629687,12.6150036,CS1,55.714287,12.544606
t3,55.66034659999999,12.6124427,55.6944184,12.5088552,CS0,55.6629687,12.6150036,CS2,55.6967862,12.5046889
t4,55.66034659999999,12.6124427,55.6957116,12.5020127,CS0,55.6629687,12.6150036,CS2,55.6967862,12.5046889
t5,55.66034659999999,12.6124427,55.6815622,12.6035183,CS0,55.6629687,12.6150036,CS3,55.678067,12.605109
t6,55.66034659999999,12.6124427,55.679351,12.6063932,CS0,55.6629687,12.6150036,CS3,55.678067,12.605109
t7,55.66034659999999,12.6124427,55.6821885,12.5853534,CS0,55.6629687,12.6150036,CS4,55.68544739999999,12.5850568
t8,55.66034659999999,12.6124427,55.6858274,12.5772687,CS0,55.6629687,12.6150036,CS4,55.68544739999999,12.5850568
t9,55.66034659999999,12.6124427,55.6757724,12.5426171,CS0,55.6629687,12.6150036,CS5,55.6795777,12.5433161
t10,55.66034659999999,12.6124427,55.677688,12.546912,CS0,55.6629687,12.6150036,CS5,55.6795777,12.5433161
t11,55.66034659999999,12.6124427,55.7326892,12.5690945,CS0,55.6629687,12.6150036,CS6,55.7309704,12.5659228
t12,55.66034659999999,12.6124427,55.73273,12.5654915,CS0,55.6629687,12.6150036,CS6,55.7309704,12.5659228
t13,55.66034659999999,12.6124427,55.7051614,12.481215,CS0,55.6629687,12.6150036,CS7,55.7046643,12.4787843
t14,55.66034659999999,12.6124427,55.6538288,12.566855,CS0,55.6629687,12.6150036,CS8,55.6571548,12.5684851
t15,55.66034659999999,12.6124427,55.6576191,12.566949,CS0,55.6629687,12.6150036,CS8,55.6571548,12.5684851
t16,55.66034659999999,12.6124427,55.713568,12.5927798,CS0,55.6629687,12.6150036,CS9,55.711612,12.5952725
t17,55.66034659999999,12.6124427,55.710214,12.5926909,CS0,55.6629687,12.6150036,CS9,55.711612,12.5952725
t18,55.66034659999999,12.6124427,55.7035416,12.538201,CS0,55.6629687,12.6150036,CS10,55.70464879999999,12.5368945
t19,55.66034659999999,12.6124427,55.7023483,12.535914,CS0,55.6629687,12.6150036,CS10,55.70464879999999,12.5368945
t20,55.66034659999999,12.6124427,55.7030729,12.5477827,CS0,55.6629687,12.6150036,CS11,55.7009488,12.5486256
t21,55.66034659999999,12.6124427,55.700964,12.5414659,CS0,55.6629687,12.6150036,CS11,55.7009488,12.5486256
t22,55.66034659999999,12.6124427,55.6935246,12.5337137,CS0,55.6629687,12.6150036,CS12,55.6910463,12.5395837
t23,55.66034659999999,12.6124427,55.69347029999999,12.5343236,CS0,55.6629687,12.6150036,CS12,55.6910463,12.5395837
t24,55.66034659999999,12.6124427,55.6303298,12.5758695,CS0,55.6629687,12.6150036,CS13,55.6317174,12.5736554
t25,55.66034659999999,12.6124427,55.630171,12.576398,CS0,55.6629687,12.6150036,CS13,55.6317174,12.5736554
t26,55.66034659999999,12.6124427,55.695981,12.566608,CS0,55.6629687,12.6150036,CS14,55.698862,12.565549
t27,55.66034659999999,12.6124427,55.695981,12.566608,CS0,55.6629687,12.6150036,CS14,55.698862,12.565549
t28,55.66034659999999,12.6124427,55.7337192,12.5151561,CS0,55.6629687,12.6150036,CS15,55.7349516,12.513523
t29,55.66034659999999,12.6124427,55.73391059999999,12.5147976,CS0,55.6629687,12.6150036,CS15,55.7349516,12.513523
t30,55.66034659999999,12.6124427,55.649143,12.538063,CS0,55.6629687,12.6150036,CS16,55.6498214,12.5355941
t31,55.66034659999999,12.6124427,55.6508857,12.5362424,CS0,55.6629687,12.6150036,CS16,55.6498214,12.5355941
t32,55.66034659999999,12.6124427,55.656097,12.4854309,CS0,55.6629687,12.6150036,CS17,55.656498,12.489456
t33,55.66034659999999,12.6124427,55.656243,12.49368,CS0,55.6629687,12.6150036,CS17,55.656498,12.489456
t34,55.66034659999999,12.6124427,55.68661609999999,12.4911945,CS0,55.6629687,12.6150036,CS18,55.689496,12.489151
t35,55.66034659999999,12.6124427,55.68832579999999,12.489222,CS0,55.6629687,12.6150036,CS18,55.689496,12.489151
t36,55.66034659999999,12.6124427,55.67162899999999,12.546236,CS0,55.6629687,12.6150036,CS19,55.6718713,12.5516401
t37,55.66034659999999,12.6124427,55.6737346,12.550013,CS0,55.6629687,12.6150036,CS19,55.6718713,12.5516401
t38,55.66034659999999,12.6124427,55.6681772,12.5494579,CS0,55.6629687,12.6150036,CS19,55.6718713,12.5516401
t40,55.663417,12.613829,55.7155986,12.5491707,CS0,55.6629687,12.6150036,CS1,55.714287,12.544606
t41,55.663417,12.613829,55.7145986,12.5472417,CS0,55.6629687,12.6150036,CS1,55.714287,12.544606
t42,55.663417,12.613829,55.6944184,12.5088552,CS0,55.6629687,12.6150036,CS2,55.6967862,12.5046889
t43,55.663417,12.613829,55.6957116,12.5020127,CS0,55.6629687,12.6150036,CS2,55.6967862,12.5046889
t44,55.663417,12.613829,55.6815622,12.6035183,CS0,55.6629687,12.6150036,CS3,55.678067,12.605109
t45,55.663417,12.613829,55.679351,12.6063932,CS0,55.6629687,12.6150036,CS3,55.678067,12.605109
t46,55.663417,12.613829,55.6821885,12.5853534,CS0,55.6629687,12.6150036,CS4,55.68544739999999,12.5850568
t47,55.663417,12.613829,55.6858274,12.5772687,CS0,55.6629687,12.6150036,CS4,55.68544739999999,12.5850568
t48,55.663417,12.613829,55.6757724,12.5426171,CS0,55.6629687,12.6150036,CS5,55.6795777,12.5433161
t49,55.663417,12.613829,55.677688,12.546912,CS0,55.6629687,12.6150036,CS5,55.6795777,12.5433161
t50,55.663417,12.613829,55.7326892,12.5690945,CS0,55.6629687,12.6150036,CS6,55.7309704,12.5659228
t51,55.663417,12.613829,55.73273,12.5654915,CS0,55.6629687,12.6150036,CS6,55.7309704,12.5659228
