,Unnamed: 0,traveller_id,wt_css_o,wt_css_d,wt_css,cs_duration,walking_duration,public_duration,bicycling_duration,taxi_duration,purpose,bike_ownership
0,127,t127,4.0,5.0,9.0,14 mins,1 hour 0 mins,33 mins,17 mins,13 mins,errand,yes
1,184,t184,8.0,2.0,10.0,10 mins,1 hour 0 mins,30 mins,22 mins,11 mins,commuting,yes
2,223,t223,3.0,2.0,5.0,10 mins,1 hour 0 mins,33 mins,18 mins,11 mins,leisure,yes
3,224,t224,3.0,2.0,5.0,10 mins,1 hour 0 mins,33 mins,17 mins,10 mins,commuting,yes
4,282,t282,7.0,6.0,13.0,17 mins,1 hour 0 mins,32 mins,19 mins,20 mins,errand,yes
5,397,t397,6.0,7.0,13.0,16 mins,1 hour 0 mins,30 mins,19 mins,20 mins,errand,yes
6,432,t432,5.0,4.0,9.0,13 mins,1 hour 0 mins,31 mins,17 mins,13 mins,leisure,no
7,574,t574,2.0,2.0,4.0,9 mins,1 hour 0 mins,41 mins,23 mins,9 mins,errand,yes
8,682,t682,5.0,4.0,9.0,14 mins,1 hour 0 mins,25 mins,21 mins,15 mins,leisure,yes
9,758,t758,2.0,5.0,7.0,15 mins,1 hour 0 mins,25 mins,21 mins,16 mins,leisure,yes
10,797,t797,4.0,5.0,9.0,15 mins,1 hour 0 mins,25 mins,21 mins,17 mins,business,yes
11,1053,t1133,2.0,8.0,10.0,11 mins,1 hour 0 mins,32 mins,16 mins,10 mins,errand,yes
12,1054,t1134,2.0,3.0,5.0,11 mins,1 hour 0 mins,38 mins,17 mins,10 mins,leisure,no
13,1277,t1357,7.0,4.0,11.0,15 mins,1 hour 0 mins,33 mins,17 mins,15 mins,errand,yes
14,1428,t1508,4.0,7.0,11.0,14 mins,1 hour 0 mins,34 mins,17 mins,14 mins,business,yes
15,1452,t1532,7.0,2.0,9.0,14 mins,1 hour 0 mins,18 mins,18 mins,14 mins,commuting,yes
16,124,t124,4.0,7.0,11.0,13 mins,1 hour 1 min,33 mins,17 mins,12 mins,errand,yes
17,185,t185,8.0,2.0,10.0,10 mins,1 hour 1 min,31 mins,20 mins,11 mins,leisure,yes
18,422,t422,6.0,6.0,12.0,14 mins,1 hour 1 min,28 mins,18 mins,13 mins,business,yes
19,566,t566,2.0,5.0,7.0,14 mins,1 hour 1 min,31 mins,16 mins,15 mins,business,yes
20,681,t681,5.0,2.0,7.0,14 mins,1 hour 1 min,26 mins,20 mins,14 mins,errand,yes
21,725,t725,7.0,6.0,13.0,14 mins,1 hour 1 min,28 mins,20 mins,15 mins,commuting,yes
22,833,t833,5.0,2.0,7.0,14 mins,1 hour 1 min,27 mins,18 mins,14 mins,errand,no
23,915,t915,6.0,7.0,13.0,15 mins,1 hour 1 min,33 mins,19 mins,15 mins,errand,yes
24,954,t954,6.0,7.0,13.0,15 mins,1 hour 1 min,33 mins,19 mins,15 mins,errand,yes
25,1091,t1171,2.0,8.0,10.0,11 mins,1 hour 1 min,32 mins,16 mins,9 mins,errand,yes
26,1092,t1172,2.0,3.0,5.0,11 mins,1 hour 1 min,38 mins,17 mins,10 mins,leisure,yes
27,1151,t1231,5.0,10.0,15.0,10 mins,1 hour 1 min,24 mins,16 mins,7 mins,leisure,yes
28,1211,t1291,6.0,6.0,12.0,14 mins,1 hour 1 min,27 mins,19 mins,13 mins,errand,yes
