traveller_id,cus_o,cus_d,highest_pl,whether_request
t92,CS1,CS8,None,N
t202,CS2,CS4,None,N
t1375,CS18,CS8,None,N
t188,CS2,CS17,None,N
t1434,CS18,CS19,None,N
t766,CS10,CS13,4,Y
t774,CS10,CS17,None,N
t493,CS6,CS13,None,N
t362,CS4,CS6,None,N
t1332,CS17,CS6,None,N
t1509,CS19,CS18,None,N
t315,CS4,CS1,None,N
t1283,CS17,CS1,None,N
t525,CS6,CS10,4,Y
t365,CS4,CS8,None,N
t539,CS6,CS17,None,N
t526,CS6,CS10,None,N
t1482,CS19,CS4,None,N
t984,CS13,CS4,None,N
t1301,CS17,CS10,None,N
t1328,CS17,CS4,None,N
t1396,CS18,CS19,None,N
t164,CS2,CS4,None,N
t388,CS4,CS19,None,N
t598,CS8,CS6,None,N
t142,CS1,CS13,None,N
t115,CS1,CS19,None,N
t356,CS4,CS2,None,N
t331,CS4,CS10,None,N
t657,CS8,CS17,None,N
t231,CS2,CS19,None,N
t219,CS2,CS13,None,N
t206,CS2,CS6,None,N
t487,CS6,CS10,None,N
t207,CS2,CS6,1,Y
t385,CS4,CS18,None,N
t818,CS10,CS19,None,N
t779,CS10,CS19,None,N
t337,CS4,CS13,None,N
t125,CS1,CS4,None,N
t1399,CS18,CS1,1,Y
t661,CS8,CS19,2,Y
t788,CS10,CS4,None,N
t1538,CS19,CS13,None,N
t1438,CS19,CS1,4,Y
t387,CS4,CS19,None,N
t386,CS4,CS18,None,N
t804,CS10,CS13,None,N
t642,CS8,CS10,2,Y
t486,CS6,CS10,None,N
t531,CS6,CS13,None,N
t1549,CS19,CS18,None,N
t1522,CS19,CS4,None,N
t93,CS1,CS8,None,N
t232,CS2,CS19,None,N
t812,CS10,CS17,None,N
t609,CS8,CS13,None,N
t1354,CS17,CS18,None,N
t327,CS4,CS8,None,N
t214,CS2,CS10,None,N
t1339,CS17,CS10,None,N
t1516,CS19,CS1,2,Y
t209,CS2,CS8,4,Y
t1323,CS17,CS1,None,N
t588,CS8,CS1,None,N
t471,CS6,CS1,2,Y
t620,CS8,CS18,None,N
t503,CS6,CS18,None,N
t987,CS13,CS6,None,N
t228,CS2,CS17,None,N
t1362,CS18,CS1,None,N
t1315,CS17,CS18,None,N
t1448,CS19,CS6,None,N
t128,CS1,CS6,None,N
t532,CS6,CS13,None,N
t1460,CS19,CS13,None,N
t194,CS2,CS19,None,N
t1405,CS18,CS4,None,N
t1417,CS18,CS10,3,Y
t643,CS8,CS10,None,N
t994,CS13,CS10,None,N
t805,CS10,CS13,None,N
t1412,CS18,CS8,None,N
t129,CS1,CS6,None,N
t1357,CS17,CS19,None,N
t1307,CS17,CS13,None,N
t543,CS6,CS19,None,N
t1284,CS17,CS1,None,N
t233,CS2,CS19,None,N
t511,CS6,CS2,None,N
t112,CS1,CS18,None,N
t990,CS13,CS8,None,N
t1477,CS19,CS1,None,N
t1406,CS18,CS4,None,N
t1335,CS17,CS8,None,N
t120,CS1,CS2,None,N
t633,CS8,CS4,None,N
t505,CS6,CS19,None,N
t1393,CS18,CS17,None,N
t983,CS13,CS4,None,N
vehicle_id,loc_css
sv0,CS19
sv1,CS0
sv2,CS2
sv3,CS10
sv4,CS19
sv5,CS2
sv6,CS8
sv7,CS8
sv8,CS16
sv9,CS2
sv10,CS18
sv11,CS8
sv12,CS19
sv13,CS10
sv14,CS2
sv15,CS6
sv16,CS5
sv17,CS2
sv18,CS2
sv19,CS18
sv20,CS6
sv21,CS6
sv22,CS1
sv23,CS6
sv24,CS15
