Instance,Gap,,Solution time (s),
,Solver,BD,Solver,BD
K400V100S4seed0,0.00%,0.00%,1720.651137,1025.15725
K400V100S4seed1,18.86%,8.38%,-,-
K400V100S4seed2,14.65%,0.00%,-,1008.135226
K400V100S4seed3,14.32%,15.52%,-,-
K400V100S4seed9,21.12%,8.52%,-,-
Avg.,13.79%,6.48%,1720.65,1016.65
K400V150S4seed0,17.38%,0.00%,-,557.4097798
K400V150S4seed1,24.10%,0.00%,-,740.6320431
K400V150S4seed2,20.22%,0.00%,-,760.960907
K400V150S4seed3,14.82%,0.00%,-,780.0455425
K400V150S4seed9,20.24%,0.00%,-,857.1591218
Avg.,19.35%,0.00%,-,739.24
K400V200S4seed0,17.70%,0.00%,-,570.9406028
K400V200S4seed1,23.85%,0.00%,-,392.6308622
K400V200S4seed2,21.07%,0.00%,-,459.1556361
K400V200S4seed3,15.69%,0.00%,-,440.3999243
K400V200S4seed9,23.67%,0.00%,-,466.0688429
Avg.,20.40%,0.00%,-,465.84
K600V150S4seed0,24.35%,10.76%,-,-
K600V150S4seed1,26.64%,0.00%,-,778.4887502
K600V150S4seed2,21.88%,7.08%,-,-
K600V150S4seed3,20.98%,6.97%,-,-
K600V150S4seed9,28.96%,10.47%,-,-
Avg.,24.56%,7.05%,-,778.49
K600V200S4seed0,24.54%,0.00%,-,912.3307114
K600V200S4seed1,23.46%,0.00%,-,874.9178095
K600V200S4seed2,23.96%,0.00%,-,586.6385362
K600V200S4seed3,25.25%,0.00%,-,826.9954867
K600V200S4seed9,27.74%,0.00%,-,869.2702785
Avg.,24.99%,0.00%,-,814.03
K600V300S4seed0,0.00%,0.00%,1311.100953,184.3458347
K600V300S4seed1,21.47%,0.00%,-,243.6509106
K600V300S4seed2,0.00%,0.00%,1463.591634,616.7057176
K600V300S4seed3,21.29%,0.00%,-,337.3094983
K600V300S4seed9,0.00%,0.00%,1646.277695,580.8485219
Avg.,8.55%,0.00%,1473.66,392.57
K800V200S4seed0,23.06%,8.99%,-,-
K800V200S4seed1,25.28%,9.13%,-,-
K800V200S4seed2,25.89%,7.93%,-,-
K800V200S4seed3,30.18%,10.28%,-,-
K800V200S4seed9,27.44%,10.09%,-,-
Avg.,26.37%,9.29%,-,-
K800V300S4seed0,0.00%,0.00%,1632.263592,1250.572086
K800V300S4seed1,10.19%,2.07%,-,-
K800V300S4seed2,14.89%,0.00%,-,962.2120941
K800V300S4seed3,25.94%,1.02%,-,-
K800V300S4seed9,0.00%,0.00%,1254.372044,837.4270194
Avg.,10.21%,0.62%,1443.32,1016.74
K800V400S4seed0,0.00%,0.00%,1233.718322,736.1758351
K800V400S4seed1,0.00%,0.00%,1547.295009,906.8222809
K800V400S4seed2,22.48%,0.00%,-,659.9212339
K800V400S4seed3,0.00%,0.00%,1514.898699,416.7580738
K800V400S4seed9,26.96%,0.00%,-,376.6473703
Avg.,9.89%,0.00%,1431.97,619.26
S=4 Average,17.57%,2.60%,1517.40,730.35
