Instance,BD algorithm runtime (s),
,without Vis,with Vis
K100V25S3seed0,5.887406111,5.550484896
K100V25S3seed1,4.186570883,2.636106014
K100V25S3seed2,5.424891949,6.427371025
K100V25S3seed3,3.329653025,2.666277885
K100V25S3seed9,7.33323884,2.993320942
Avg.,5.23,4.05
K100V40S3seed0,6.191234827,3.416027069
K100V40S3seed1,4.227484226,2.782618761
K100V40S3seed2,5.947167873,2.802652836
K100V40S3seed3,3.342707872,3.304469824
K100V40S3seed9,8.711539984,3.194475889
Avg.,5.68,3.10
K100V50S3seed0,4.187169075,3.567934036
K100V50S3seed1,3.657777309,2.633171082
K100V50S3seed2,3.942635059,2.837069035
K100V50S3seed3,2.929180861,2.626467228
K100V50S3seed9,3.950048923,2.994603157
Avg.,3.73,2.93
K200V50S3seed0,10.04788995,4.806602001
K200V50S3seed1,16.61287189,5.31439805
K200V50S3seed2,13.61114502,8.616293192
K200V50S3seed3,4.597565889,2.467228174
K200V50S3seed9,13.7224319,6.064977169
Avg.,11.72,5.45
K200V75S3seed0,6.448235989,4.168255091
K200V75S3seed1,11.37398076,2.56477499
K200V75S3seed2,13.67756391,5.980509043
K200V75S3seed3,5.91010499,2.537685871
K200V75S3seed9,9.206839085,4.00613308
Avg.,9.32,3.85
K200V100S3seed0,8.732862949,4.19414711
K200V100S3seed1,10.39459515,2.59047699
K200V100S3seed2,11.77220011,3.535741806
K200V100S3seed3,4.303453922,2.523945808
K200V100S3seed9,6.616769075,2.94141078
Avg.,8.36,3.16
K300V75S3seed0,76.30242395,45.31374192
K300V75S3seed1,32.64524531,24.08696032
K300V75S3seed2,42.68553805,41.17571211
K300V75S3seed3,17.56739593,10.5784471
K300V75S3seed9,13.95745015,5.305456877
Avg.,36.63,25.29
K300V100S3seed0,24.31257105,8.571775913
K300V100S3seed1,29.97958016,16.29886293
K300V100S3seed2,149.3191602,123.682713
K300V100S3seed3,10.32738996,3.324176311
K300V100S3seed9,8.312089205,2.934297085
Avg.,44.45,30.96
K300V150S3seed0,21.67595482,4.548082829
K300V150S3seed1,23.79156876,3.308549166
K300V150S3seed2,21.38682699,3.561350107
K300V150S3seed3,15.20870018,3.446861744
K300V150S3seed9,7.143524885,3.150877953
Avg.,17.84,3.60
S=3 Average,15.89,9.16
