Instance,Original,,,,WF,,,,CGLM,,,
,No VIs,VI-1,VI-2,VI-1&2,No VIs,VI-1,VI-2,VI-1&2,No VIs,VI-1,VI-2,VI-1&2
K100V25S4seed0,4.740779638,6.083374262,4.52283144,5.352737665,6.546662569,4.386900902,4.286279917,4.439222574,5.695710421,2.792089224,3.660031557,3.645169973
K100V25S4seed1,2.297719955,2.172940731,1.874584198,1.574389458,1.404697418,2.044816494,1.858401537,1.484156132,1.397952318,1.444017172,1.255848885,1.231449127
K100V25S4seed2,5.306779146,5.097047329,4.487529993,4.561493158,5.290611506,4.253350019,4.970495462,4.537434816,3.934028387,3.490677595,3.667156219,3.62438345
K100V25S4seed3,2.549040556,2.908491611,1.842624187,2.965116024,3.073515654,2.223600388,1.976413012,2.189885139,2.38877821,1.988878489,1.752028227,1.673691511
K100V25S4seed9,4.69174099,4.561885595,3.514322042,4.026080847,4.396251678,4.344590425,4.295492411,4.527953386,4.085128784,3.530627012,3.317881107,3.343768835
Avg.,3.92,4.16,3.25,3.70,4.14,3.45,3.48,3.44,3.50,2.65,2.73,2.70
K100V40S4seed0,6.469839573,5.55902195,4.015556574,4.43369174,6.373041153,3.270782948,4.932993174,5.561415195,3.126192093,2.84023571,4.76211834,4.89687705
K100V40S4seed1,1.276418924,1.120305538,2.195120335,1.33,2.252001762,1.792598963,1.825299978,1.281935215,2.157366514,2.264726877,1.880341053,2.09
K100V40S4seed2,6.329253197,5.868740559,5.481912374,6.359097481,7.988791943,5.51281023,5.75444293,4.630629301,5.071031332,4.152921915,4.791297197,4.954791546
K100V40S4seed3,3.029042959,2.269929171,2.730605602,1.691859961,2.204953194,2.659589052,2.23261714,1.577557087,2.329437017,2.068390131,1.619827986,1.988755703
K100V40S4seed9,5.030509472,6.161593676,4.165875435,4.032814503,4.775282145,4.623171329,4.085277081,4.262542248,3.713250637,4.032749414,4.950353622,3.184360027
Avg.,4.43,4.20,3.72,3.57,4.72,3.57,3.77,3.46,3.28,3.07,3.60,3.42
K100V50S4seed0,3.322659731,6.488178492,4.006257534,5.456148863,5.547533512,6.286370754,5.593460321,3.15678525,2.828572512,5.168708086,3.856124878,4.887121677
K100V50S4seed1,1.845328331,2.098833799,1.401177168,1.298516989,2.62424469,2.556583643,1.602092981,2.126548052,1.857368231,1.74239707,1.526386023,1.085183144
K100V50S4seed2,5.290915966,5.197063684,6.191530466,4.870058298,5.243766069,8.405614376,4.811459541,4.841879845,5.008757114,5.548145056,3.939325571,5.05783391
K100V50S4seed3,2.17708087,2.911103964,1.702142477,1.636082649,2.96791029,2.640301466,2.356663227,2.492340326,2.284740925,2.284536362,2.519129038,1.227314234
K100V50S4seed9,4.695691347,5.177035093,5.879825592,4.647237062,4.502974033,4.344447374,,4.095900536,4.283477306,3.686737299,3.562155247,3.493178368
Avg.,3.47,4.37,3.84,3.58,4.18,4.85,3.59,3.34,3.25,3.69,3.08,3.15
K200V50S4seed0,11.87362599,8.55705452,4.083374977,8.197509289,12.67682338,7.041127205,5.004626036,7.156219482,5.803785801,5.852092981,9.187613726,3.620125294
K200V50S4seed1,14.86636877,17.51585293,13.00444412,17.12754822,20.39300442,15.86234736,21.473984,15.63431454,20.2442534,22.79344034,18.48140907,12.29402542
K200V50S4seed2,23.56163907,14.68390274,23.75285101,16.39453721,33.54236317,18.97360921,24.21981716,15.99655914,23.31858635,17.70022559,31.26955128,11.2469511
K200V50S4seed3,22.53965521,5.995970726,4.727418661,4.929305315,6.24841404,6.470081806,5.138776302,4.933280945,4.658212662,4.363949537,4.269216537,4.661986351
K200V50S4seed9,29.856987,46.32735872,38.36185265,26.19231439,22.77773309,37.184659,41.14949846,27.02815938,26.74124908,18.02843475,22.46767759,25.03154159
Avg.,20.54,18.62,16.79,14.57,19.13,17.11,19.40,14.15,16.15,13.75,17.14,11.37
K200V75S4seed0,7.414170742,5.228940725,6.043447256,6.617370605,6.646493912,5.769807816,11.40235019,10.74023628,5.008521318,6.221067905,5.286706924,7.493953705
