Instance,Original ,,,,WF,,,,CGLM,,,
,No VIs,VI-1,VI-2,VI1&2,No VIs,VI-1,VI-2,VI1&2,No VIs,VI-1,VI-2,VI1&2
K100V25S5seed0,2.004925013,1.964901447,1.272518635,1.33639884,1.695363522,1.698750496,0.915481091,1.495253325,1.301229,1.492234707,1.081919909,1.242532015
K100V25S5seed1,1.291078568,1.409379244,0.950173616,1.029961109,1.125912905,1.403363943,1.069839954,0.942349672,1.20919323,1.260676146,0.942614555,0.995340347
K100V25S5seed2,2.916559219,2.851964474,1.789803028,2.820198536,2.677714348,2.929152966,2.115345001,2.683546782,2.673392534,1.931969643,1.691393852,1.658378601
K100V25S5seed3,1.210544348,1.777771711,1.007151604,1.259132147,1.768037558,1.603446722,1.026284456,0.913260221,1.347988605,1.503265381,1.047026634,0.873678207
K100V25S5seed9,2.166908741,2.178718567,1.973699093,2.061016083,2.549865961,2.388762951,1.600374937,1.795376301,1.810749769,2.057033777,1.416924715,1.678936005
Avg.,1.92,2.04,1.40,1.70,1.96,2.00,1.35,1.57,1.67,1.65,1.24,1.29
K100V40S5seed0,2.097952366,1.630495071,1.131187677,1.445386171,1.750740051,1.497565508,1.10239768,1.191493511,1.643751621,1.853021145,1.077630758,1.173696995
K100V40S5seed1,1.36988306,1.573207378,1.167591572,0.780774593,1.38004446,1.336988688,0.976327419,1.012711525,1.243595123,1.292421579,0.890495539,0.701416016
K100V40S5seed2,3.572867632,2.385563612,1.692029476,2.461332798,1.768936634,1.937176466,1.405048609,1.676614761,1.918949366,1.86795187,1.389930725,1.751940966
K100V40S5seed3,1.590292931,1.595345974,1.162029982,1.073071957,1.528944492,1.497602463,1.189359426,1.494832277,1.589223623,1.312923193,1.037410259,0.982392073
K100V40S5seed9,4.069746494,3.836117029,3.069072962,3.339519501,3.931377888,4.329080582,3.578852892,3.227640629,3.376728296,3.623327017,3.704393387,2.917381048
Avg.,2.54,2.20,1.64,1.82,2.07,2.12,1.65,1.72,1.95,1.99,1.62,1.51
