per_min_fee,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
0.2,0,t1181,19,11,2,2.0,4.0,1.02
0.2,0,t582,11,0,-1,3.8000000000000003,2.8000000000000003,1.616
0.2,0,t352,2,13,2,2.6,4.6,0.8160000000000001
0.2,0,t859,15,13,2,3.8000000000000003,5.800000000000001,1.558
0.2,0,t575,11,19,2,1.8,3.8,0.984
0.2,0,t1186,19,5,2,2.4000000000000004,4.4,0.986
0.2,0,t1188,19,15,2,2.8000000000000003,4.800000000000001,1.1300000000000001
0.2,0,t1400,10,6,2,2.6,4.6,1.1580000000000001
0.2,0,t497,14,19,1,2.0,3.0,0.742
0.2,0,t1259,17,3,2,2.4000000000000004,4.4,1.076
0.2,0,t340,2,19,-1,3.4000000000000004,2.4000000000000004,1.688
0.2,0,t1153,19,1,2,2.6,4.6,1.528
0.2,0,t831,15,14,0,2.0,2.0,0.926
0.2,0,t1311,8,19,-1,4.6000000000000005,3.6000000000000005,2.3280000000000003
0.2,0,t6,13,12,-1,2.0,1.0,0.6320000000000001
0.2,0,t518,14,9,1,3.4000000000000004,4.4,1.4300000000000002
0.2,0,t1080,16,19,0,2.6,2.6,1.2688000000000001
0.2,0,t547,11,13,2,4.6000000000000005,6.6000000000000005,2.2960000000000003
0.2,0,t57,13,5,0,4.0,4.0,1.6239999999999999
0.2,0,t54,13,3,2,2.6,4.6,0.886
0.2,0,t1177,19,9,2,2.8000000000000003,4.800000000000001,1.7334
0.2,0,t1433,10,0,2,3.2,5.2,1.1826
0.2,0,t815,5,10,2,2.2,4.2,0.828
0.2,0,t1105,16,11,2,3.6,5.6,1.516
0.2,0,t1475,0,13,2,2.8000000000000003,4.800000000000001,0.9900000000000001
0.2,0,t788,5,2,-1,2.4000000000000004,1.4000000000000004,0.918
0.2,0,t898,1,13,1,3.2,4.2,1.3068
0.2,0,t224,7,19,2,2.0,4.0,0.976
0.2,0,t1244,17,13,-1,3.6,2.6,1.568
0.2,0,t1201,19,10,0,3.0,3.0,1.3920000000000001
0.2,0,t1506,0,17,0,2.0,2.0,0.638
0.2,0,t932,1,10,2,2.0,4.0,0.79
0.2,0,t1224,17,5,0,4.2,4.2,1.57
0.2,0,t19,13,5,0,4.0,4.0,1.6239999999999999
0.2,0,t55,13,4,-1,4.0,3.0,1.4820000000000002
0.2,0,t1493,0,5,0,2.8000000000000003,2.8000000000000003,0.97
0.2,0,t41,13,6,2,4.800000000000001,6.800000000000001,1.8840000000000001
0.2,0,t535,14,19,1,2.0,3.0,0.742
0.2,0,t1172,19,7,2,2.2,4.2,1.074
0.2,0,t854,15,10,2,2.6,4.6,0.8960000000000001
0.2,0,t1276,17,10,1,3.4000000000000004,4.4,1.534
0.2,0,t724,4,1,1,2.8000000000000003,3.8000000000000003,1.028
0.2,0,t520,14,11,2,3.6,5.6,1.7356000000000003
0.2,0,t525,14,5,2,2.2,4.2,0.892
0.2,0,t811,5,17,1,4.0,5.0,1.4246
0.2,0,t1195,19,16,0,2.6,2.6,1.478
0.2,0,t910,1,14,-1,3.0,2.0,1.3760000000000001
0.2,0,t625,3,13,0,2.6,2.6,0.8640000000000001
0.2,0,t1416,10,5,0,2.2,2.2,0.9279999999999999
0.2,0,t682,4,5,0,2.8000000000000003,2.8000000000000003,1.502
0.2,0,t330,2,5,-1,2.4000000000000004,1.4000000000000004,0.9119999999999999
0.2,0,t459,9,17,0,2.2,2.2,0.758
0.2,0,t1202,19,0,2,4.0,6.0,2.074
0.2,0,t643,3,5,0,3.8000000000000003,3.8000000000000003,1.4800000000000002
0.2,0,t1490,0,3,2,2.4000000000000004,4.4,0.8420000000000001
0.2,0,t418,9,19,1,2.8000000000000003,3.8000000000000003,1.6920000000000002
0.2,0,t512,14,7,2,2.8000000000000003,4.800000000000001,1.302
0.2,0,t469,14,13,2,5.2,7.2,2.024
0.2,0,t637,3,14,0,5.0,5.0,2.102
0.2,0,t619,3,10,2,4.6000000000000005,6.6000000000000005,1.8800000000000001
0.2,0,t1452,0,4,-1,3.4000000000000004,2.4000000000000004,1.318
0.2,0,t1256,17,14,1,5.6000000000000005,6.6000000000000005,2.604
0.2,0,t769,5,19,2,2.2,4.2,0.806
0.2,0,t214,7,5,2,1.6,3.6,0.634
0.2,0,t267,12,8,0,5.0,5.0,1.9280000000000002
0.2,0,t51,13,14,2,5.2,7.2,2.056
