num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
1,0,t1181,19,11,-1,3.0,2.0,1.02
1,0,t174,7,5,-1,2.4,1.4,0.634
1,0,t859,15,13,-1,5.7,4.7,1.558
1,0,t575,11,19,-1,2.6999999999999997,1.6999999999999997,0.984
1,0,t533,14,16,-1,3.0,2.0,0.916
1,0,t1186,19,5,-1,3.5999999999999996,2.5999999999999996,0.986
1,0,t478,14,9,-1,5.1,4.1,1.4300000000000002
1,0,t1188,19,15,-1,4.2,3.2,1.1300000000000001
1,0,t1259,17,3,-1,3.5999999999999996,2.5999999999999996,1.076
1,0,t631,3,12,-1,4.2,3.2,0.8660000000000001
1,0,t340,2,19,-1,5.1,4.1,1.688
1,0,t1080,16,19,-1,3.9,2.9,1.2688000000000001
1,0,t547,11,13,-1,6.8999999999999995,5.8999999999999995,2.2960000000000003
1,0,t57,13,5,-1,6.0,5.0,1.6239999999999999
1,0,t54,13,3,-1,3.9,2.9,0.886
1,0,t1433,10,0,-1,4.8,3.8,1.1826
1,0,t815,5,10,-1,3.3,2.3,0.828
1,0,t1475,0,13,-1,4.2,3.2,0.9900000000000001
1,0,t788,5,2,-1,3.5999999999999996,2.5999999999999996,0.918
1,0,t224,7,19,-1,3.0,2.0,0.976
1,0,t1244,17,13,-1,5.3999999999999995,4.3999999999999995,1.568
1,0,t1201,19,10,-1,4.5,3.5,1.3920000000000001
1,0,t1506,0,17,-1,3.0,2.0,0.638
1,0,t549,11,6,-1,4.2,3.2,1.066
1,0,t1131,19,6,-1,3.5999999999999996,2.5999999999999996,0.968
1,0,t1224,17,5,-1,6.3,5.3,1.57
1,0,t55,13,4,-1,6.0,5.0,1.4820000000000002
1,0,t49,13,9,-1,4.8,3.8,1.202
1,0,t1493,0,5,-1,4.2,3.2,0.97
1,0,t1518,0,7,-1,4.5,3.5,1.064
1,0,t535,14,19,-1,3.0,2.0,0.742
1,0,t573,11,16,-1,5.1,4.1,1.6600000000000001
1,0,t1172,19,7,-1,3.3,2.3,1.074
1,0,t854,15,10,-1,3.9,2.9,0.8960000000000001
1,0,t1276,17,10,-1,5.1,4.1,1.534
1,0,t908,1,9,-1,1.5,0.5,0.34600000000000003
1,0,t660,3,0,-1,4.5,3.5,0.868
1,0,t520,14,11,-1,5.3999999999999995,4.3999999999999995,1.7356000000000003
1,0,t525,14,5,-1,3.3,2.3,0.892
1,0,t811,5,17,-1,6.0,5.0,1.4246
1,0,t625,3,13,-1,3.9,2.9,0.8640000000000001
1,0,t169,7,11,-1,1.5,0.5,0.53
1,0,t576,11,17,-1,6.0,5.0,1.9260000000000002
1,0,t1416,10,5,-1,3.3,2.3,0.9279999999999999
1,0,t960,1,18,-1,5.7,4.7,1.8378
1,0,t682,4,5,-1,4.2,3.2,1.502
1,0,t487,14,5,-1,3.3,2.3,0.892
1,0,t1202,19,0,-1,6.0,5.0,2.074
1,0,t517,14,9,-1,5.1,4.1,1.4300000000000002
1,0,t1252,17,2,-1,5.1,4.1,1.36
1,0,t1429,10,17,-1,5.1,4.1,1.6
1,0,t643,3,5,-1,5.7,4.7,1.4800000000000002
1,0,t1490,0,3,-1,3.5999999999999996,2.5999999999999996,0.8420000000000001
1,0,t418,9,19,-1,4.2,3.2,1.6920000000000002
1,0,t469,14,13,-1,7.8,6.8,2.024
1,0,t527,14,15,-1,3.0,2.0,0.9140000000000001
1,0,t694,4,17,-1,6.6,5.6,1.8440000000000003
1,0,t1256,17,14,-1,8.4,7.4,2.604
1,0,t1081,16,19,-1,3.9,2.9,1.2688000000000001
1,0,t769,5,19,-1,3.3,2.3,0.806
1,0,t214,7,5,-1,2.4,1.4,0.634
1,0,t51,13,14,-1,7.8,6.8,2.056
1,0,t305,12,8,-1,7.5,6.5,1.9280000000000002
1,0,t349,2,0,-1,3.5999999999999996,2.5999999999999996,0.726
1,0,t215,7,15,-1,3.3,2.3,0.756
1,0,t72,13,8,-1,7.199999999999999,6.199999999999999,1.954
1,0,t833,15,11,-1,4.2,3.2,1.1720000000000002
1,0,t66,13,16,-1,5.7,4.7,1.4220000000000002
1,0,t559,11,14,-1,5.3999999999999995,4.3999999999999995,1.462
1,0,t1104,16,14,-1,2.6999999999999997,1.6999999999999997,0.87
1,0,t847,15,19,-1,3.5999999999999996,2.5999999999999996,0.954
1,0,t1391,10,17,-1,5.1,4.1,1.6
1,0,t1306,8,18,-1,5.3999999999999995,4.3999999999999995,2.058
1,0,t1488,0,11,-1,5.3999999999999995,4.3999999999999995,1.56
1,0,t206,7,14,-1,4.2,3.2,1.242
1,0,t1143,19,11,-1,3.0,2.0,1.02
1,0,t820,15,13,-1,5.7,4.7,1.558
1,0,t1091,16,13,-1,5.3999999999999995,4.3999999999999995,1.4000000000000001
1,0,t613,3,19,-1,7.199999999999999,6.199999999999999,2.5100000000000002
1,0,t952,1,3,-1,4.2,3.2,1.176
1,0,t121,6,7,-1,3.0,2.0,0.8140000000000001
1,0,t1168,19,13,-1,7.5,6.5,2.692
1,0,t1239,17,10,-1,5.1,4.1,1.534
1,0,t457,9,19,-1,4.2,3.2,1.6920000000000002
1,0,t1398,10,13,-1,6.6,5.6,2.108
1,0,t503,14,10,-1,5.3999999999999995,4.3999999999999995,1.6320000000000001
1,0,t202,7,2,-1,4.5,3.5,1.4260000000000002
1,0,t607,3,1,-1,4.5,3.5,1.168
1,0,t1163,19,10,-1,4.5,3.5,1.3920000000000001
1,0,t965,1,19,-1,3.3,2.3,1.4160000000000001
1,0,t1425,10,16,-1,4.8,3.8,1.46
1,0,t790,5,9,-1,3.0,2.0,0.682
1,0,t1221,17,3,-1,3.5999999999999996,2.5999999999999996,1.076
1,0,t1180,19,14,-1,3.3,2.3,0.8580000000000001
1,0,t392,9,6,-1,3.9,2.9,0.924
1,0,t1165,19,0,-1,6.0,5.0,2.074
1,0,t1421,10,1,-1,3.0,2.0,0.9420000000000001
1,0,t751,5,9,-1,3.0,2.0,0.682
1,0,t421,9,17,-1,3.3,2.3,0.758
1,0,t67,13,19,-1,7.5,6.5,2.656
1,0,t577,11,17,-1,6.0,5.0,1.9260000000000002
1,0,t1516,0,6,-1,5.3999999999999995,4.3999999999999995,1.22
1,0,t699,4,0,-1,5.7,4.7,1.2624000000000002
1,0,t207,7,14,-1,4.2,3.2,1.242
1,0,t1310,8,19,-1,6.8999999999999995,5.8999999999999995,2.3280000000000003
1,0,t1428,10,17,-1,5.1,4.1,1.6
1,0,t742,5,13,-1,6.3,5.3,1.6520000000000001
1,0,t912,1,3,-1,4.2,3.2,1.176
1,0,t1179,19,14,-1,3.3,2.3,0.8580000000000001
1,0,t82,6,7,-1,3.0,2.0,0.8140000000000001
1,0,t210,7,3,-1,5.3999999999999995,4.3999999999999995,1.7000000000000002
1,0,t1466,0,17,-1,3.0,2.0,0.638
1,0,t502,14,10,-1,5.3999999999999995,4.3999999999999995,1.6320000000000001
1,0,t941,1,7,-1,2.1,1.1,0.6360000000000001
