num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
3,0,t1181,19,11,2,3.0,5.0,1.02
3,0,t673,4,9,-1,5.1,4.1,1.234
3,0,t859,15,13,0,5.7,5.7,1.558
3,0,t1102,16,9,-1,3.3,2.3,0.808
3,0,t575,11,19,2,2.6999999999999997,4.699999999999999,0.984
3,0,t533,14,16,0,3.0,3.0,0.916
3,0,t1186,19,5,0,3.5999999999999996,3.5999999999999996,0.986
3,0,t1400,10,6,1,3.9,4.9,1.1580000000000001
3,0,t497,14,19,2,3.0,5.0,0.742
3,0,t254,12,15,-1,6.0,5.0,1.2824
3,0,t1259,17,3,1,3.5999999999999996,4.6,1.076
3,0,t567,11,15,0,4.2,4.2,1.1868
3,0,t1080,16,19,1,3.9,4.9,1.2688000000000001
3,0,t547,11,13,-1,6.8999999999999995,5.8999999999999995,2.2960000000000003
3,0,t57,13,5,2,6.0,8.0,1.6239999999999999
3,0,t806,5,16,-1,3.0,2.0,0.676
3,0,t1475,0,13,0,4.2,4.2,0.9900000000000001
3,0,t224,7,19,2,3.0,5.0,0.976
3,0,t1244,17,13,1,5.3999999999999995,6.3999999999999995,1.568
3,0,t549,11,6,2,4.2,6.2,1.066
3,0,t471,14,6,2,3.0,5.0,0.784
3,0,t1173,19,12,0,7.8,7.8,2.6940000000000004
3,0,t55,13,4,2,6.0,8.0,1.4820000000000002
3,0,t49,13,9,2,4.8,6.8,1.202
3,0,t41,13,6,0,7.199999999999999,7.199999999999999,1.8840000000000001
3,0,t535,14,19,2,3.0,5.0,0.742
3,0,t342,2,17,0,4.5,4.5,1.192
3,0,t1172,19,7,2,3.3,5.3,1.074
3,0,t854,15,10,-1,3.9,2.9,0.8960000000000001
3,0,t1086,16,10,-1,5.1,4.1,1.2380000000000002
3,0,t520,14,11,2,5.3999999999999995,7.3999999999999995,1.7356000000000003
3,0,t525,14,5,0,3.3,3.3,0.892
3,0,t811,5,17,0,6.0,6.0,1.4246
3,0,t625,3,13,1,3.9,4.9,0.8640000000000001
3,0,t576,11,17,-1,6.0,5.0,1.9260000000000002
3,0,t1416,10,5,-1,3.3,2.3,0.9279999999999999
3,0,t330,2,5,-1,3.5999999999999996,2.5999999999999996,0.9119999999999999
3,0,t1449,0,11,1,5.3999999999999995,6.3999999999999995,1.56
3,0,t517,14,9,0,5.1,5.1,1.4300000000000002
3,0,t643,3,5,2,5.7,7.7,1.4800000000000002
3,0,t418,9,19,1,4.2,5.2,1.6920000000000002
3,0,t1330,8,9,-1,4.2,3.2,1.1119999999999999
3,0,t694,4,17,0,6.6,6.6,1.8440000000000003
3,0,t1256,17,14,0,8.4,8.4,2.604
3,0,t769,5,19,1,3.3,4.3,0.806
3,0,t214,7,5,0,2.4,2.4,0.634
3,0,t51,13,14,0,7.8,7.8,2.056
3,0,t11,13,14,0,7.8,7.8,2.056
3,0,t833,15,11,1,4.2,5.2,1.1720000000000002
3,0,t559,11,14,2,5.3999999999999995,7.3999999999999995,1.462
3,0,t1104,16,14,1,2.6999999999999997,3.6999999999999997,0.87
3,0,t1184,19,4,0,4.2,4.2,1.62
3,0,t1143,19,11,2,3.0,5.0,1.02
3,0,t820,15,13,0,5.7,5.7,1.558
3,0,t613,3,19,0,7.199999999999999,7.199999999999999,2.5100000000000002
3,0,t395,9,7,1,3.0,4.0,0.772
3,0,t1432,10,0,-1,4.8,3.8,1.1826
3,0,t1398,10,13,0,6.6,6.6,2.108
3,0,t202,7,2,0,4.5,4.5,1.4260000000000002
3,0,t1163,19,10,0,4.5,4.5,1.3920000000000001
3,0,t1394,10,0,-1,4.8,3.8,1.1826
3,0,t1149,19,5,0,3.5999999999999996,3.5999999999999996,0.986
3,0,t1221,17,3,1,3.5999999999999996,4.6,1.076
3,0,t584,11,0,0,5.7,5.7,1.616
3,0,t1204,19,0,0,6.0,6.0,2.074
3,0,t67,13,19,0,7.5,7.5,2.656
3,0,t577,11,17,-1,6.0,5.0,1.9260000000000002
3,0,t1428,10,17,0,5.1,5.1,1.6
3,0,t1504,0,19,1,5.7,6.7,1.9800000000000002
3,0,t742,5,13,0,6.3,6.3,1.6520000000000001
3,0,t1179,19,14,2,3.3,5.3,0.8580000000000001
3,0,t228,7,8,0,4.8,4.8,1.3840000000000001
3,0,t210,7,3,-1,5.3999999999999995,4.3999999999999995,1.7000000000000002
3,0,t444,9,3,0,4.2,4.2,1.068
3,0,t772,5,17,0,6.0,6.0,1.4246
3,0,t1151,19,15,0,4.2,4.2,1.1300000000000001
3,0,t1183,19,3,-1,7.199999999999999,6.199999999999999,2.548
3,0,t809,5,19,1,3.3,4.3,0.806
3,0,t638,3,11,0,7.199999999999999,7.199999999999999,2.17
3,0,t64,13,18,1,4.2,5.2,1.1420000000000001
3,0,t213,7,5,0,2.4,2.4,0.634
3,0,t52,13,11,0,7.5,7.5,2.31
3,0,t1414,10,4,-1,6.0,5.0,2.206
3,0,t1142,19,14,2,3.3,5.3,0.8580000000000001
3,0,t1257,17,11,0,6.0,6.0,1.8418
3,0,t338,2,16,-1,1.7999999999999998,0.7999999999999998,0.49400000000000005
3,0,t462,9,8,-1,4.2,3.2,1.1
3,0,t1138,19,2,0,5.1,5.1,1.8420000000000003
3,0,t569,11,1,0,3.3,3.3,1.154
3,0,t70,13,17,1,5.3999999999999995,6.3999999999999995,1.6079999999999999
3,0,t1200,19,10,0,4.5,4.5,1.3920000000000001
3,0,t562,11,4,0,6.3,6.3,2.118
3,0,t1274,17,8,2,3.0,5.0,0.8320000000000001
3,0,t73,13,10,2,7.199999999999999,9.2,2.022
3,0,t542,14,10,0,5.3999999999999995,5.3999999999999995,1.6320000000000001
3,0,t507,14,13,-1,7.8,6.8,2.024
3,0,t484,14,4,0,3.0,3.0,0.802
3,0,t620,3,10,2,6.8999999999999995,8.899999999999999,1.8800000000000001
3,0,t1417,10,5,-1,3.3,2.3,0.9279999999999999
3,0,t888,15,17,0,6.0,6.0,1.3900000000000001
3,0,t755,5,11,1,3.9,4.9,0.854
3,0,t1321,8,13,0,7.199999999999999,7.199999999999999,1.92
3,0,t1279,17,0,2,3.5999999999999996,5.6,0.81
3,0,t127,6,9,0,4.2,4.2,0.952
3,0,t1194,19,16,0,3.9,3.9,1.478
3,0,t655,3,17,1,3.3,4.3,1.018
3,0,t731,4,19,1,4.2,5.2,1.47
3,0,t265,12,17,0,5.3999999999999995,5.3999999999999995,1.3860000000000001
