# Customers (|K|),# Vehicles (|V|),# Zones (S),seed number,Net profit (Euro)
400,100,4,0,200.1694
400,100,4,1,187.217
400,100,4,2,202.5714
400,100,4,3,186.1878
400,100,4,9,209.2484
Avg.,,,,197.08
400,150,4,0,209.8594
400,150,4,1,199.127
400,150,4,2,211.0054
400,150,4,3,213.2202
400,150,4,9,226.9468
Avg.,,,,212.03
400,200,4,0,209.8594
400,200,4,1,200.057
400,200,4,2,211.4218
400,200,4,3,213.8176
400,200,4,9,229.3168
Avg.,,,,212.89
600,150,4,0,303.637
600,150,4,1,261.5798
600,150,4,2,271.3914
600,150,4,3,294.955
600,150,4,9,277.5086
Avg.,,,,281.81
600,200,4,0,331.3008
600,200,4,1,267.8278
600,200,4,2,285.4714
600,200,4,3,306.6742
600,200,4,9,300.4748
Avg.,,,,298.35
600,300,4,0,340.5168
600,300,4,1,273.4758
600,300,4,2,290.4554
600,300,4,3,313.119
600,300,4,9,306.558
Avg.,,,,304.83
800,200,4,0,397.2886
800,200,4,1,415.2356
800,200,4,2,367.531
800,200,4,3,361.7634
800,200,4,9,377.1982
Avg.,,,,383.80
800,300,4,0,426.065
800,300,4,1,443.9588
800,300,4,2,393.9954
800,300,4,3,394.9204
800,300,4,9,411.879
Avg.,,,,414.16
800,400,4,0,431.1152
800,400,4,1,453.1562
800,400,4,2,396.4642
800,400,4,3,398.9544
800,400,4,9,413.209
Avg.,,,,418.58
S=4 Average,,,,302.62
